wp,n,k,p,q,r
1.495130075576262e-4,10000,10000,0.75,0.25,0.5
0.0013221985724610492,100000,10000,0.75,0.25,0.5
0.009345405714118944,1000000,10000,0.75,0.25,0.5
0.04707865245639087,10000000,10000,0.75,0.25,0.5
0.16075182374859814,100000000,10000,0.75,0.25,0.5
6.044999898006617e-10,1,100000,0.75,0.25,0.5
6.044972115842545e-9,10,100000,0.75,0.25,0.5
6.044695080602646e-8,100,100000,0.75,0.25,0.5
6.041991296886967e-7,1000,100000,0.75,0.25,0.5
6.018412570661243e-6,10000,100000,0.75,0.25,0.5
5.867250822329002e-5,100000,100000,0.75,0.25,0.5
5.271388592320273e-4,1000000,100000,0.75,0.25,0.5
0.003928166340930506,10000000,100000,0.75,0.25,0.5
0.021930220538152856,100000000,100000,0.75,0.25,0.5
2.6835925297406955e-11,1,1000000,0.75,0.25,0.5
2.683591060975412e-10,10,1000000,0.75,0.25,0.5
2.6835763628372256e-9,100,1000000,0.75,0.25,0.5
2.6834303860268007e-8,1000,1000000,0.75,0.25,0.5
2.6820388178127977e-7,10000,1000000,0.75,0.25,0.5
2.670709898433778e-6,100000,1000000,0.75,0.25,0.5
2.6046360492443196e-5,1000000,1000000,0.75,0.25,0.5
2.3612767414924683e-4,10000000,1000000,0.75,0.25,0.5
0.0018198655038947282,100000000,1000000,0.75,0.25,0.5
1.2978173013450065e-12,1,10000000,0.75,0.25,0.5
1.2978172049595003e-11,10,10000000,0.75,0.25,0.5
1.2978162371240783e-10,100,10000000,0.75,0.25,0.5
1.2978065807805282e-9,1000,10000000,0.75,0.25,0.5
1.2977116018178513e-8,10000,10000000,0.75,0.25,0.5
1.2968440722481901e-7,100000,10000000,0.75,0.25,0.5
1.2904073953546732e-6,1000000,10000000,0.75,0.25,0.5
